Date,Closing Price,Weather,News Rating
1/3/2023,373.96,Sunny,Positive
1/4/2023,376.84,Sunny,Positive
1/5/2023,372.54,Rainy,Positive
1/6/2023,381.09,Sunny,Positive
1/9/2023,380.87,Sunny,Positive
1/10/2023,383.54,Sunny,Positive
1/11/2023,388.39,Sunny,Positive
1/12/2023,389.81,Sunny,Positive
1/13/2023,391.32,Sunny,Positive
1/17/2023,390.6,Sunny,Positive
1/18/2023,384.43,Sunny,Negative
1/19/2023,381.64,Sunny,Negative
1/20/2023,388.75,Rainy,Negative
1/23/2023,393.41,Sunny,Positive
1/24/2023,392.99,Sunny,Positive
1/25/2023,393.13,Rainy,Positive
1/26/2023,397.46,Rainy,Positive
1/27/2023,398.37,Rainy,Positive
1/30/2023,393.37,Rainy,Positive
1/31/2023,399.15,Rainy,Positive
2/1/2023,403.4,Sunny,Positive
2/2/2023,409.27,Sunny,Positive
2/3/2023,404.92,Sunny,Positive
2/6/2023,402.44,Sunny,Negative
2/7/2023,407.71,Sunny,Positive
2/8/2023,403.25,Sunny,Negative
2/9/2023,399.75,Sunny,Negative
2/10/2023,400.69,Sunny,Negative
2/13/2023,405.39,Sunny,Positive
2/14/2023,405.2,Sunny,Positive
2/15/2023,406.52,Sunny,Positive
2/16/2023,400.92,Sunny,Negative
2/17/2023,399.92,Rainy,Negative
2/21/2023,391.9,Rainy,Negative
2/22/2023,391.36,Rainy,Negative
2/23/2023,393.44,Rainy,Negative
2/24/2023,389.24,Rainy,Negative
2/27/2023,390.56,Sunny,Positive
2/28/2023,389.12,Sunny,Negative
3/1/2023,387.63,Sunny,Negative
3/2/2023,390.64,Sunny,Positive
3/3/2023,396.91,Sunny,Positive
3/6/2023,397.18,Rainy,Positive
3/7/2023,391.09,Sunny,Negative
3/8/2023,391.73,Rainy,Positive
3/9/2023,384.5,Rainy,Negative
3/10/2023,378.96,Rainy,Negative
3/13/2023,378.41,Rainy,Negative
3/14/2023,384.67,Sunny,Negative
3/15/2023,382.26,Sunny,Negative
3/16/2023,388.97,Sunny,Positive
3/17/2023,384.42,Sunny,Negative
3/20/2023,388.12,Sunny,Positive
3/21/2023,393.22,Sunny,Positive
3/22/2023,386.51,Rainy,Negative
3/23/2023,387.56,Rainy,Negative
3/24/2023,390.1,Rainy,Negative
3/27/2023,390.83,Sunny,Positive
3/28/2023,389.95,Sunny,Positive
3/29/2023,395.62,Sunny,Positive
3/30/2023,397.94,Sunny,Positive
3/31/2023,403.55,Sunny,Positive
4/3/2023,405.08,Sunny,Positive
4/4/2023,402.84,Sunny,Negative
4/5/2023,401.78,Sunny,Negative
4/6/2023,403.35,Sunny,Positive
4/10/2023,403.76,Sunny,Positive
4/11/2023,403.87,Sunny,Positive
